下午 2:53:47:I2CW     Main_IOExp is Disabled
下午 2:53:47:I2CW     Main_IOExp is Disabled
下午 2:53:47:I2CW     Main_IOExp is Disabled
下午 2:53:48:I2CW     Main_IOExp is Disabled
下午 2:53:48:I2CW     Main_IOExp is Disabled
下午 2:53:48:I2CW     Main_IOExp is Disabled
下午 2:53:51:I2CW     S C0  F2 46 FB 00 00 P 
下午 2:53:51:I2CW     S C0  F2 46 F8 00 00 P 
下午 2:53:51:I2CW     S C0  F2 46 FC 00 00 P 
下午 2:53:51:I2CW     S C0  F2 46 F9 00 00 P 
下午 2:53:51:I2CW     S C0  F2 46 FD 00 00 P 
下午 2:53:51:I2CW     S C0  F2 46 FE 00 00 P 
下午 2:53:52:I2CW     S C0  F2 46 FF 00 00 P 
下午 2:53:52:I2CW     S C0  F2 47 00 00 00 P 
下午 2:53:52:I2CW     S C0  F2 47 01 00 00 P 
下午 2:53:52:I2CW     S C0  F2 47 02 00 00 P 
下午 2:53:52:I2CW     S C0  F2 47 03 00 00 P 
下午 2:53:52:I2CW     S C0  F2 47 04 00 00 P 
下午 2:53:52:I2CW     S C0  F2 47 05 00 00 P 
下午 2:53:52:I2CW     S C0  F2 45 F5 07 EE 03 D5 00 01 P 
下午 2:53:52:I2CW     S C0  F2 45 FB 0F 33 P 
下午 2:53:52:I2CW     S C0  F2 45 FC 0F 33 P 
下午 2:53:52:I2CW     S C0  F2 45 76 03 33 07 FF 08 14 04 CD 07 FF 09 9A 00 00 01 50 00 00 P 
下午 2:53:52:I2CW     S C0  F2 45 7F 00 CD P 
下午 2:53:52:I2CW     S C0  F2 45 80 00 CD P 
下午 2:53:52:I2CW     S C0  F2 06 E3 00 00 01 P 
下午 2:53:52:I2CW     S C0  F2 06 E9 7F FF FF P 
下午 2:53:52:I2CW     S C0  F2 06 E4 00 00 01 P 
下午 2:53:52:I2CW     S C0  F2 06 E9 7F FF FF P 
下午 2:53:52:I2CW     S C0  F2 06 E5 00 00 01 P 
下午 2:53:52:I2CW     S C0  F2 06 E9 7F FF FF P 
下午 2:53:52:I2CW     S C0  F2 06 E6 00 00 01 P 
下午 2:53:52:I2CW     S C0  F2 06 E9 7F FF FF P 
下午 2:53:52:I2CW     S C0  F2 06 E7 00 00 01 P 
下午 2:53:52:I2CW     S C0  F2 06 E9 7F FF FF P 
下午 2:53:52:I2CW     S C0  F2 06 E8 00 00 01 P 
下午 2:53:52:I2CW     S C0  F2 06 E9 7F FF FF P 
下午 2:53:52:I2CW     S C0  F2 06 76 00 00 00 P 
下午 2:53:52:I2CW     S C0  F2 06 77 00 00 00 P 
下午 2:53:52:I2CW     S C0  F2 06 7F 7F FF FF P 
下午 2:53:52:I2CW     S C0  F2 46 82 07 C7 08 04 P 
下午 2:53:52:I2CW     S C0  F2 46 84 04 1C 00 09 P 
下午 2:53:52:I2CW     S C0  F2 06 78 00 00 00 P 
下午 2:53:52:I2CW     S C0  F2 06 80 7F FF FF P 
下午 2:53:52:I2CW     S C0  F2 46 86 07 C7 08 04 P 
下午 2:53:52:I2CW     S C0  F2 46 88 04 1C 00 09 P 
下午 2:53:52:I2CW     S C0  F2 06 79 00 00 00 P 
下午 2:53:52:I2CW     S C0  F2 06 81 7F FF FF P 
下午 2:53:52:I2CW     S C0  F2 46 8A 07 C7 08 04 P 
下午 2:53:52:I2CW     S C0  F2 46 8C 04 1C 00 09 P 
下午 2:53:52:I2CW     S C0  F2 06 7A 00 00 00 P 
下午 2:53:52:I2CW     S C0  F2 06 82 7F FF FF P 
下午 2:53:52:I2CW     S C0  F2 46 8E 07 C7 08 04 P 
下午 2:53:52:I2CW     S C0  F2 46 90 04 1C 00 09 P 
下午 2:53:52:I2CW     S C0  F2 04 96 03 00 01 P 
下午 2:53:52:I2CW     S C0  F2 04 97 00 00 00 P 
下午 2:53:52:I2CW     S C0  F2 04 98 00 00 00 P 
下午 2:53:52:I2CW     S C0  F2 04 99 00 00 00 P 
下午 2:53:52:I2CW     S C0  F2 04 9A 00 00 00 P 
下午 2:53:52:I2CW     S C0  F2 43 61 00 CC 03 FB P 
下午 2:53:52:I2CW     S C0  F2 43 5F 01 92 04 00 P 
下午 2:53:52:I2CW     S C0  F2 43 65 00 CC 03 FB P 
下午 2:53:52:I2CW     S C0  F2 43 63 01 92 04 00 P 
下午 2:53:52:I2CW     S C0  F2 43 69 00 CC 03 FB P 
下午 2:53:52:I2CW     S C0  F2 43 67 01 92 04 00 P 
下午 2:53:52:I2CW     S C0  F2 43 6D 00 CC 03 FB P 
下午 2:53:52:I2CW     S C0  F2 43 6B 01 92 04 00 P 
下午 2:53:52:I2CW     S C0  F2 04 8E 80 00 00 P 
下午 2:53:52:I2CW     S C0  F2 04 90 80 00 00 P 
下午 2:53:52:I2CW     S C0  F2 04 92 80 00 00 P 
下午 2:53:52:I2CW     S C0  F2 04 94 80 00 00 P 
下午 2:53:52:I2CW     S C0  F2 43 CF 03 D5 07 EE P 
下午 2:53:52:I2CW     S C0  F2 43 D4 03 D5 07 EE P 
下午 2:53:52:I2CW     S C0  F2 43 D9 03 D5 07 EE P 
下午 2:53:52:I2CW     S C0  F2 43 DE 03 D5 07 EE P 
下午 2:53:52:I2CW     S C0  F2 43 D1 0D FE P 
下午 2:53:52:I2CW     S C0  F2 43 D6 0D FE P 
下午 2:53:52:I2CW     S C0  F2 43 DB 0D FE P 
下午 2:53:52:I2CW     S C0  F2 43 E0 0D FE P 
下午 2:53:52:I2CW     S C0  F2 43 E3 02 02 P 
下午 2:53:52:I2CW     S C0  F2 05 77 01 11 11 P 
下午 2:53:52:I2CW     S C0  F2 05 78 01 11 11 P 
下午 2:53:52:I2CW     S C0  F2 05 84 00 00 00 P 
下午 2:53:52:I2CW     S C0  F2 43 CD 00 01 P 
下午 2:53:52:I2CW     S C0  F2 05 79 7E F0 11 P 
下午 2:53:52:I2CW     S C0  F2 05 7B 00 03 84 P 
下午 2:53:52:I2CW     S C0  F2 05 7C 00 03 84 P 
下午 2:53:52:I2CW     S C0  F2 05 7D 00 03 84 P 
下午 2:53:52:I2CW     S C0  F2 05 7E 00 03 84 P 
下午 2:53:52:I2CW     S C0  F2 05 7F 00 03 84 P 
下午 2:53:52:I2CW     S C0  F2 05 80 00 03 84 P 
下午 2:53:52:I2CW     S C0  F2 05 7A 00 00 03 P 
下午 2:53:52:I2CW     S C0  F2 05 83 40 26 E7 P 
下午 2:53:52:I2CW     S C0  F2 05 84 00 00 00 P 
下午 2:53:52:I2CW     S C0  F2 43 D2 00 80 P 
下午 2:53:52:I2CW     S C0  F2 43 D3 00 00 P 
下午 2:53:52:I2CW     S C0  F2 43 D7 00 80 P 
下午 2:53:52:I2CW     S C0  F2 43 D8 00 00 P 
下午 2:53:52:I2CW     S C0  F2 43 DC 00 80 P 
下午 2:53:52:I2CW     S C0  F2 43 DD 00 00 P 
下午 2:53:52:I2CW     S C0  F2 43 E1 00 80 P 
下午 2:53:52:I2CW     S C0  F2 43 E2 00 00 P 
下午 2:53:52:I2CW     S C0  F2 05 81 00 00 00 P 
下午 2:53:52:I2CW     S C0  F2 43 E4 08 00 P 
下午 2:53:52:I2CW     S C0  F2 43 E5 0F FF P 
下午 2:53:52:I2CW     S C0  F2 43 E6 0F FF P 
下午 2:53:52:I2CW     S C0  F2 05 78 05 55 55 P 
下午 2:53:52:I2CW     S C0  F2 05 79 00 97 B4 P 
下午 2:53:52:I2CW     S C0  F2 05 7B 00 00 5A P 
下午 2:53:52:I2CW     S C0  F2 05 7C 00 04 8C P 
下午 2:53:52:I2CW     S C0  F2 43 CF 05 2F 07 D8 P 
下午 2:53:52:I2CW     S C0  F2 43 D2 00 80 P 
下午 2:53:52:I2CW     S C0  F2 05 78 05 55 55 P 
下午 2:53:52:I2CW     S C0  F2 05 79 00 97 B4 P 
下午 2:53:52:I2CW     S C0  F2 05 7B 00 00 5A P 
下午 2:53:52:I2CW     S C0  F2 05 7C 00 02 AC P 
下午 2:53:52:I2CW     S C0  F2 43 CF 05 2F 07 D8 P 
下午 2:53:52:I2CW     S C0  F2 43 D2 00 80 P 
下午 2:53:52:I2CW     S C0  F2 05 78 05 55 55 P 
下午 2:53:52:I2CW     S C0  F2 05 79 00 97 B4 P 
下午 2:53:52:I2CW     S C0  F2 05 7B 00 00 5A P 
下午 2:53:52:I2CW     S C0  F2 05 7C 00 00 C9 P 
下午 2:53:52:I2CW     S C0  F2 43 CF 05 2F 07 D8 P 
下午 2:53:52:I2CW     S C0  F2 43 D2 00 80 P 
下午 2:53:52:I2CW     S C0  F2 05 78 05 55 55 P 
下午 2:53:52:I2CW     S C0  F2 05 79 00 97 B4 P 
下午 2:53:52:I2CW     S C0  F2 05 7B 80 00 00 P 
下午 2:53:52:I2CW     S C0  F2 05 7C 00 00 C9 P 
下午 2:53:52:I2CW     S C0  F2 43 CF 05 2F 07 D8 P 
下午 2:53:52:I2CW     S C0  F2 43 D2 00 80 P 
下午 2:53:52:I2CW     S C0  F2 43 D4 08 00 P 
下午 2:53:52:I2CW     S C0  F2 43 D5 08 00 P 
下午 2:53:52:I2CW     S C0  F2 43 D6 08 00 P 
下午 2:53:52:I2CW     S C0  F2 43 D7 08 00 P 
下午 2:53:52:I2CW     S C0  F2 05 7A 00 1B 4F P 
下午 2:53:52:I2CW     S C0  F2 43 D1 08 00 P 
下午 2:53:52:I2CW     S C0  F2 05 78 05 55 55 P 
下午 2:53:52:I2CW     S C0  F2 05 79 00 97 B4 P 
下午 2:53:52:I2CW     S C0  F2 05 7B 00 00 5A P 
下午 2:53:52:I2CW     S C0  F2 05 7C 00 04 8C P 
下午 2:53:52:I2CW     S C0  F2 43 CF 05 2F 07 D8 P 
下午 2:53:52:I2CW     S C0  F2 43 D2 00 80 P 
下午 2:53:52:I2CW     S C0  F2 05 78 05 55 55 P 
下午 2:53:52:I2CW     S C0  F2 05 79 00 97 B4 P 
下午 2:53:52:I2CW     S C0  F2 05 7B 00 00 5A P 
下午 2:53:52:I2CW     S C0  F2 05 7C 00 02 AC P 
下午 2:53:52:I2CW     S C0  F2 43 CF 05 2F 07 D8 P 
下午 2:53:52:I2CW     S C0  F2 43 D2 00 80 P 
下午 2:53:52:I2CW     S C0  F2 05 78 05 55 55 P 
下午 2:53:52:I2CW     S C0  F2 05 79 00 97 B4 P 
下午 2:53:52:I2CW     S C0  F2 05 7B 00 00 5A P 
下午 2:53:52:I2CW     S C0  F2 05 7C 00 00 C9 P 
下午 2:53:52:I2CW     S C0  F2 43 CF 05 2F 07 D8 P 
下午 2:53:53:I2CW     S C0  F2 43 D2 00 80 P 
下午 2:53:53:I2CW     S C0  F2 05 78 05 55 55 P 
下午 2:53:53:I2CW     S C0  F2 05 79 00 97 B4 P 
下午 2:53:53:I2CW     S C0  F2 05 7B 80 00 00 P 
下午 2:53:53:I2CW     S C0  F2 05 7C 00 00 C9 P 
下午 2:53:53:I2CW     S C0  F2 43 CF 05 2F 07 D8 P 
下午 2:53:53:I2CW     S C0  F2 43 D2 00 80 P 
下午 2:53:53:I2CW     S C0  F2 43 D4 08 00 P 
下午 2:53:53:I2CW     S C0  F2 43 D5 08 00 P 
下午 2:53:53:I2CW     S C0  F2 43 D6 08 00 P 
下午 2:53:53:I2CW     S C0  F2 43 D7 08 00 P 
下午 2:53:53:I2CW     S C0  F2 05 7A 00 1B 4F P 
下午 2:53:53:I2CW     S C0  F2 43 D1 08 00 P 
下午 2:53:53:I2CW     S C0  F2 05 83 4B 15 B5 P 
下午 2:53:53:I2CW     S C0  F2 46 5F 07 FD 05 33 P 
下午 2:53:53:I2CW     S C0  F2 46 61 00 E6 P 
下午 2:53:53:I2CW     S C0  F2 46 62 07 D8 07 B1 P 
下午 2:53:53:I2CW     S C0  F2 46 64 00 20 P 
下午 2:53:53:I2CW     S C0  F2 46 65 07 FC 04 B5 P 
下午 2:53:53:I2CW     S C0  F2 46 67 02 88 P 
下午 2:53:53:I2CW     S C0  F2 46 68 07 CA 06 EB P 
下午 2:53:53:I2CW     S C0  F2 46 6A 00 40 P 
下午 2:53:53:I2CW     S C0  F2 46 6B 07 F9 06 AA P 
下午 2:53:53:I2CW     S C0  F2 46 6D 04 00 P 
下午 2:53:53:I2CW     S C0  F2 46 6E 07 A0 07 55 P 
下午 2:53:53:I2CW     S C0  F2 46 70 00 1C P 
下午 2:53:53:I2CW     S C0  F2 06 B3 00 09 8F P 
下午 2:53:53:I2CW     S C0  F2 46 71 02 66 P 
下午 2:53:53:I2CW     S C0  F2 46 72 05 99 P 
下午 2:53:53:I2CW     S C0  F2 06 B4 00 00 00 P 
下午 2:53:53:I2CW     S C0  F2 46 73 01 45 P 
下午 2:53:53:I2CW     S C0  F2 06 B5 15 55 55 P 
下午 2:53:53:I2CW     S C0  F2 06 B6 00 03 48 P 
下午 2:53:53:I2CW     S C0  F2 46 74 07 FF 06 0C P 
下午 2:53:53:I2CW     S C0  F2 06 B7 00 02 1C P 
下午 2:53:53:I2CW     S C0  F2 46 76 00 01 P 
下午 2:53:53:I2CW     S C0  F2 06 B8 15 55 55 P 
下午 2:53:53:I2CW     S C0  F2 06 B9 00 03 48 P 
下午 2:53:53:I2CW     S C0  F2 46 77 07 FF 06 0C P 
下午 2:53:53:I2CW     S C0  F2 06 BA 00 03 CC P 
下午 2:53:53:I2CW     S C0  F2 46 79 00 01 P 
下午 2:53:53:I2CW     S C0  F2 06 BB 15 55 55 P 
下午 2:53:53:I2CW     S C0  F2 06 BC 00 03 48 P 
下午 2:53:53:I2CW     S C0  F2 46 7A 07 FF 06 0C P 
下午 2:53:53:I2CW     S C0  F2 46 7C 07 5C 02 02 P 
下午 2:53:53:I2CW     S C0  F2 06 BD 00 00 01 P 
下午 2:53:53:I2CW     S C0  F2 06 BE 00 70 80 P 
下午 2:53:53:I2CW     S C0  F2 06 BF 00 00 00 P 
下午 2:53:53:I2CW     S C0  F2 04 A0 00 00 00 P 
下午 2:53:53:I2CW     S C0  F2 04 A1 00 00 00 P 
下午 2:53:53:I2CW     S C0  F2 05 D3 00 02 F2 P 
下午 2:53:53:I2CW     S C0  F2 05 D4 00 02 F3 P 
下午 2:53:53:I2CW     S C0  F2 42 CE 00 00 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 P 
下午 2:53:53:I2CW     S C0  F2 02 B8 00 04 F9 P 
下午 2:53:53:I2CW     S C0  F2 02 B9 00 00 0A P 
下午 2:53:53:I2CW     S C0  F2 42 CE 00 00 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 P 
下午 2:53:53:I2CW     S C0  F2 02 B8 00 05 03 P 
下午 2:53:53:I2CW     S C0  F2 02 B9 00 00 0A P 
下午 2:53:53:I2CW     S C0  F2 05 D5 00 02 F2 P 
下午 2:53:53:I2CW     S C0  F2 42 CE 00 00 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 P 
下午 2:53:53:I2CW     S C0  F2 02 B8 00 05 0D P 
下午 2:53:53:I2CW     S C0  F2 02 B9 00 00 0A P 
下午 2:53:53:I2CW     S C0  F2 02 B9 00 00 E2 P 
下午 2:53:53:I2CW     S C0  F2 02 B9 00 00 EE P 
下午 2:53:53:I2CW     S C0  F2 05 E2 00 02 F2 P 
下午 2:53:53:I2CW     S C0  F2 05 E3 00 02 F3 P 
下午 2:53:53:I2CW     S C0  F2 05 E2 00 02 F2 P 
下午 2:53:53:I2CW     S C0  F2 05 E3 00 02 F3 P 
下午 2:53:53:I2CW     S C0  F2 45 81 04 2A P 
下午 2:53:53:I2CW     S C0  F2 45 82 08 02 P 
下午 2:53:53:I2CW     S C0  F2 45 83 05 99 P 
下午 2:53:53:I2CW     S C0  F2 45 84 00 04 P 
下午 2:53:53:I2CW     S C0  F2 03 3B 00 00 78 P 
下午 2:53:53:I2CW     S C0  F2 45 81 04 2A P 
下午 2:53:53:I2CW     S C0  F2 45 82 08 02 P 
下午 2:53:53:I2CW     S C0  F2 45 83 05 99 P 
下午 2:53:53:I2CW     S C0  F2 45 84 00 04 P 
下午 2:53:53:I2CW     S C0  F2 03 3B 00 00 78 P 
下午 2:53:53:I2CW     S C0  F2 45 81 04 2A P 
下午 2:53:53:I2CW     S C0  F2 45 82 08 02 P 
下午 2:53:53:I2CW     S C0  F2 45 83 05 99 P 
下午 2:53:53:I2CW     S C0  F2 45 84 00 04 P 
下午 2:53:53:I2CW     S C0  F2 03 3B 00 00 78 P 
下午 2:53:53:I2CW     S C0  F2 05 E4 00 02 F4 P 
下午 2:53:53:I2CW     S C0  F2 05 E5 00 02 F5 P 
下午 2:53:53:I2CW     S C0  F2 05 E4 00 02 F4 P 
下午 2:53:53:I2CW     S C0  F2 05 E5 00 02 F5 P 
下午 2:53:53:I2CW     S C0  F2 45 85 04 2A P 
下午 2:53:53:I2CW     S C0  F2 45 86 08 02 P 
下午 2:53:53:I2CW     S C0  F2 45 87 05 99 P 
下午 2:53:53:I2CW     S C0  F2 45 88 00 04 P 
下午 2:53:53:I2CW     S C0  F2 03 3D 00 00 78 P 
下午 2:53:53:I2CW     S C0  F2 45 85 04 2A P 
下午 2:53:53:I2CW     S C0  F2 45 86 08 02 P 
下午 2:53:53:I2CW     S C0  F2 45 87 05 99 P 
下午 2:53:53:I2CW     S C0  F2 45 88 00 04 P 
下午 2:53:53:I2CW     S C0  F2 03 3D 00 00 78 P 
下午 2:53:53:I2CW     S C0  F2 45 85 04 2A P 
下午 2:53:53:I2CW     S C0  F2 45 86 08 02 P 
下午 2:53:53:I2CW     S C0  F2 45 87 05 99 P 
下午 2:53:53:I2CW     S C0  F2 45 88 00 04 P 
下午 2:53:53:I2CW     S C0  F2 03 3D 00 00 78 P 
下午 2:53:53:I2CW     S C0  C0 00 00 01 P ,(Audio Special Feature=$00 $00 $01 ) 
下午 2:53:53:I2CW     S C0  C0 04 11 05 P ,(Audio Special Feature=$04 $11 $05 ) 
下午 2:53:53:I2CW     S C0  C0 07 11 06 P ,(Audio Special Feature=$07 $11 $06 ) 
下午 2:53:53:I2CW     S C0  C0 08 11 06 P ,(Audio Special Feature=$08 $11 $06 ) 
下午 2:53:53:I2CW     S C0  C0 05 11 17 P ,(Audio Special Feature=$05 $11 $17 ) 
下午 2:53:53:I2CW     S C0  C0 03 00 0A P ,(Audio Special Feature=$03 $00 $0A ) 
下午 2:53:53:I2CW     S C0  C0 02 00 0B P ,(Audio Special Feature=$02 $00 $0B ) 
下午 2:53:53:I2CW     S C0  C0 01 00 0C P ,(Audio Special Feature=$01 $00 $0C ) 
下午 2:53:53:I2CW     S C0  F2 06 07 00 00 00 P 
下午 2:53:53:I2CW     S C0  F2 43 1E 02 00 P 
下午 2:53:53:I2CW     S C0  F2 43 1F 00 CD P 
下午 2:53:53:I2CW     S C0  F2 42 F3 07 FF P 
下午 2:53:53:I2CW     S C0  F2 42 F4 07 FF P 
下午 2:53:53:I2CW     S C0  F2 46 0F 00 00 P 
下午 2:53:53:I2CW     S C0  F2 43 45 07 FF P 
下午 2:53:53:I2CW     S C0  F2 42 CE 07 8F 03 88 0C 65 07 2E 00 32 07 97 00 00 P 
下午 2:53:53:I2CW     S C0  F2 02 B8 00 05 FD P 
下午 2:53:53:I2CW     S C0  F2 02 B9 00 00 07 P 
下午 2:53:53:I2CW     S C0  F2 43 45 07 FF P 
下午 2:53:53:I2CW     S C0  F2 42 CE 01 F9 00 00 02 FC 0D 04 00 00 00 00 P 
下午 2:53:53:I2CW     S C0  F2 02 B8 00 06 10 P 
下午 2:53:53:I2CW     S C0  F2 02 B9 00 00 06 P 
下午 2:53:53:I2CW     S C0  F2 43 45 07 FF P 
下午 2:53:53:I2CW     S C0  F2 42 F1 07 FF P 
下午 2:53:53:I2CW     S C0  F2 42 F2 07 FF P 
下午 2:53:53:I2CW     S C0  F2 43 20 02 00 P 
下午 2:53:53:I2CW     S C0  F2 43 21 00 CD P 
下午 2:53:53:I2CW     S C0  F2 42 F9 07 FF P 
下午 2:53:53:I2CW     S C0  F2 42 FA 07 FF P 
下午 2:53:53:I2CW     S C0  F2 46 2C 00 00 P 
下午 2:53:53:I2CW     S C0  F2 43 49 07 FF P 
下午 2:53:53:I2CW     S C0  F2 42 CE 07 8F 03 88 0C 65 07 2E 00 32 07 97 00 00 P 
下午 2:53:53:I2CW     S C0  F2 02 B8 00 06 1A P 
下午 2:53:53:I2CW     S C0  F2 02 B9 00 00 07 P 
下午 2:53:53:I2CW     S C0  F2 43 49 07 FF P 
下午 2:53:54:I2CW     S C0  F2 42 CE 01 F9 00 00 02 FC 0D 04 00 00 00 00 P 
下午 2:53:54:I2CW     S C0  F2 02 B8 00 06 2D P 
下午 2:53:54:I2CW     S C0  F2 02 B9 00 00 06 P 
下午 2:53:54:I2CW     S C0  F2 43 49 07 FF P 
下午 2:53:54:I2CW     S C0  F2 43 1D 02 00 P 
下午 2:53:54:I2CW     S C0  F2 43 1C 02 00 P 
下午 2:53:54:I2CW     S C0  F2 43 3B 00 00 P 
下午 2:53:54:I2CW     S C0  F2 02 93 00 0A EC P 
下午 2:53:54:I2CW     S C0  F2 02 92 00 6D 3A P 
下午 2:53:54:I2CW     S C0  F2 43 3C 00 00 P 
下午 2:53:54:I2CW     S C0  F2 02 96 00 0A EC P 
下午 2:53:54:I2CW     S C0  F2 02 95 00 6D 3A P 
下午 2:53:54:I2CW     S C0  F2 43 3D 00 00 P 
下午 2:53:54:I2CW     S C0  F2 02 99 00 0A EC P 
下午 2:53:54:I2CW     S C0  F2 02 98 00 6D 3A P 
下午 2:53:54:I2CW     S C0  F2 43 3E 00 00 P 
下午 2:53:54:I2CW     S C0  F2 02 9C 00 0A EC P 
下午 2:53:54:I2CW     S C0  F2 02 9B 00 6D 3A P 
下午 2:53:54:I2CW     S C0  F2 43 3F 08 00 P 
下午 2:53:54:I2CW     S C0  F2 43 40 08 00 P 
下午 2:53:54:I2CW     S C0  F2 43 41 08 00 P 
下午 2:53:54:I2CW     S C0  F2 43 42 08 00 P 
下午 2:53:54:I2CW     S C0  F2 43 43 08 00 P 
下午 2:53:54:I2CW     S C0  F2 43 44 08 00 P 
下午 2:53:54:I2CW     S C0  F2 02 9F 00 15 D8 P 
下午 2:53:54:I2CW     S C0  F2 02 9E 00 DA 74 P 
